"prodID";"prodName";"compID";"compName";"gender";"category";"size";"occasion";"material";"weight";"repeatable";"made";"warranty";"price"
0;"Textured Comfortable Ring";0;"Wuckert Gusikowski and Romaguera";"Male";"Ring";4;"Just Because";"Turquoise";4;"Yes";"Machine";"Yes";7104
1;"Designer Colorful Necklace";0;"Wuckert Gusikowski and Romaguera";"Female";"Necklace";829;"Engagement";"White Gold";14;"Yes";"Machine";"Yes";9961
2;"Semi-Translucent Multistrand Minimalist Pin";0;"Wuckert Gusikowski and Romaguera";"Female";"Pin";38;"Anniversary";"Silk";13;"No";"Handmade";"No";25544
3;"Textured Two-Tone Circlet";0;"Wuckert Gusikowski and Romaguera";"Female";"Circlet";543;"Apology";"Sterling Silver";2;"No";"Machine";"No";28096
4;"Corrosion-Resistant Beaded Period Pin";1;"Rice Farrell and Mayer and Co";"Male";"Pin";49;"Engagement";"Lacquer";19;"Yes";"Handmade";"Yes";4322
5;"Cool Preppy Anklet";1;"Rice Farrell and Mayer and Co";"Female";"Anklet";160;"Just Because";"Lacquer";16;"Yes";"Handmade";"No";13212
6;"Supportive Radiant Watch";1;"Rice Farrell and Mayer and Co";"Male";"Watch";35;"Engagement";"Pearls";15;"Yes";"Handmade";"Yes";9032
7;"Iridescent Gold-Plated Flattering Cuff links";1;"Rice Farrell and Mayer and Co";"Male";"Cuff links";49;"Surgery";"Diamonds";15;"No";"Handmade";"Yes";15238
8;"Minimalist Radiant Glittering Necklace";2;"Hoeger Reichel and Schneider and Co";"Female";"Necklace";632;"Thank You";"Aquamarines";8;"No";"Handmade";"No";23089
9;"Clustered Complex Armlet";2;"Hoeger Reichel and Schneider and Co";"Female";"Armlet";146;"Graduation";"Rose Gold";2;"No";"Handmade";"Yes";20145
10;"Funky Dangly Hand-Crafted Watch";2;"Hoeger Reichel and Schneider and Co";"Male";"Watch";44;"Holiday";"Platinum";3;"No";"Machine";"No";12060
11;"Set Faceted Plated Necklace";2;"Hoeger Reichel and Schneider and Co";"Female";"Necklace";368;"Anniversary";"Sterling Silver";20;"Yes";"Machine";"Yes";8106
12;"Stylish Cute Sassy Brooch";2;"Hoeger Reichel and Schneider and Co";"Male";"Brooch";23;"Promotion";"Onyx";2;"Yes";"Handmade";"No";11288
13;"Professional Ornate Pin";2;"Hoeger Reichel and Schneider and Co";"Male";"Pin";37;"Wedding";"Pearls";19;"Yes";"Handmade";"Yes";6406
14;"Multi-Faceted Premium-Grade Smoky Amulet";2;"Hoeger Reichel and Schneider and Co";"Female";"Amulet";20;"Birthday";"Colored Gemstones";9;"No";"Machine";"No";17764
15;"Precious Tiny Tapered Pin";2;"Hoeger Reichel and Schneider and Co";"Female";"Pin";36;"Holiday";"Onyx";11;"Yes";"Machine";"Yes";7505
16;"Engineered Premium-Grade Ring";2;"Hoeger Reichel and Schneider and Co";"Male";"Ring";3;"Surgery";"Aquamarines";17;"Yes";"Handmade";"No";6254
17;"Textured Lightweight Silver-Tone Necklace";3;"Beer-Howell Group";"Female";"Necklace";806;"Engagement";"Sapphires";11;"No";"Handmade";"No";12757
18;"Wooden Exciting Nickel-Free Hairpin";3;"Beer-Howell Group";"Female";"Hairpin";36;"Baby Shower";"Titanium";15;"Yes";"Handmade";"No";12695
19;"Stunning Sophisticated Superior Ring";3;"Beer-Howell Group";"Male";"Ring";10;"Engagement";"White Gold";14;"Yes";"Machine";"No";3080
20;"Semi-Translucent Coordinating Pendant";3;"Beer-Howell Group";"Male";"Pendant";32;"Surgery";"Onyx";9;"Yes";"Handmade";"No";11210
21;"Simple Premium-Grade Princess-Cut Anklet";3;"Beer-Howell Group";"Female";"Anklet";177;"Engagement";"White Gold";7;"No";"Handmade";"Yes";18308
