"prodID";"prodName";"compID";"compName";"price"
0;"Textured Comfortable Ring";0;"Wuckert Gusikowski and Romaguera";7104
1;"Designer Colorful Necklace";0;"Wuckert Gusikowski and Romaguera";9961
2;"Semi-Translucent Multistrand Minimalist Pin";0;"Wuckert Gusikowski and Romaguera";25544
3;"Textured Two-Tone Circlet";0;"Wuckert Gusikowski and Romaguera";28096
4;"Corrosion-Resistant Beaded Period Pin";1;"Rice Farrell and Mayer and Co";4322
5;"Cool Preppy Anklet";1;"Rice Farrell and Mayer and Co";13212
6;"Supportive Radiant Watch";1;"Rice Farrell and Mayer and Co";9032
7;"Iridescent Gold-Plated Flattering Cuff links";1;"Rice Farrell and Mayer and Co";15238
8;"Minimalist Radiant Glittering Necklace";2;"Hoeger Reichel and Schneider and Co";23089
9;"Clustered Complex Armlet";2;"Hoeger Reichel and Schneider and Co";20145
10;"Funky Dangly Hand-Crafted Watch";2;"Hoeger Reichel and Schneider and Co";12060
11;"Set Faceted Plated Necklace";2;"Hoeger Reichel and Schneider and Co";8106
12;"Stylish Cute Sassy Brooch";2;"Hoeger Reichel and Schneider and Co";11288
13;"Professional Ornate Pin";2;"Hoeger Reichel and Schneider and Co";6406
14;"Multi-Faceted Premium-Grade Smoky Amulet";2;"Hoeger Reichel and Schneider and Co";17764
15;"Precious Tiny Tapered Pin";2;"Hoeger Reichel and Schneider and Co";7505
16;"Engineered Premium-Grade Ring";2;"Hoeger Reichel and Schneider and Co";6254
17;"Textured Lightweight Silver-Tone Necklace";3;"Beer-Howell Group";12757
18;"Wooden Exciting Nickel-Free Hairpin";3;"Beer-Howell Group";12695
19;"Stunning Sophisticated Superior Ring";3;"Beer-Howell Group";3080
20;"Semi-Translucent Coordinating Pendant";3;"Beer-Howell Group";11210
21;"Simple Premium-Grade Princess-Cut Anklet";3;"Beer-Howell Group";18308
22;"Dapper Vintage Watch";4;"Jewess-Schuppe Ltd";3615
23;"Durable Chunky Brilliant Armlet";4;"Jewess-Schuppe Ltd";4705
24;"Tribal Finely Detailed Armlet";4;"Jewess-Schuppe Ltd";5203
25;"Tapered Marquise-Cut Classic Necklace";5;"Bernier Group";8619
26;"Multi-Faceted Cute Cuff links";5;"Bernier Group";3867
27;"Two-Tone Slip-On Rust-Resistant Hairpin";5;"Bernier Group";235
28;"Flawless Nickel-Free Earrings";5;"Bernier Group";5732
29;"Funky Professional Hairpin";5;"Bernier Group";9357
30;"Wear-Anywhere Tribal Locket";6;"Stroman Hammes and Kunze Inc";13757
31;"Silver-Tone Edgy Pendant";6;"Stroman Hammes and Kunze Inc";6738
32;"Attention-Getting Cut-Out Reflective Belly chain";6;"Stroman Hammes and Kunze Inc";7160
33;"Tiny Dangling Circlet";6;"Stroman Hammes and Kunze Inc";6130
34;"Round-Cut Hammered Hairpin";6;"Stroman Hammes and Kunze Inc";5756
35;"Preppy Bold Bracelet";7;"Towne-Hoeger Ltd";4545
36;"Cute Silver Belly chain";7;"Towne-Hoeger Ltd";5668
37;"Chunky Two-Tone Ring";7;"Towne-Hoeger Ltd";5298
38;"Flawless Classic Amulet";7;"Towne-Hoeger Ltd";6384
39;"Keepsake Flexible Hairpin";7;"Towne-Hoeger Ltd";3278
40;"Precise Finely Detailed Charm";7;"Towne-Hoeger Ltd";6685
41;"Unique Sleek Dainty Amulet";7;"Towne-Hoeger Ltd";7684
42;"Nickel-Free Attention-Getting Ring";7;"Towne-Hoeger Ltd";2436
43;"Radiant Casual Circlet";7;"Towne-Hoeger Ltd";5425
44;"Decorative Sparkling Princess-Cut Pendant";8;"Bayer-Powlowski";11830
45;"Costume Tapered Finely Detailed Pin";8;"Bayer-Powlowski";6332
46;"Tapered Nickel-Free Durable Pendant";8;"Bayer-Powlowski";7344
47;"Stunning Engineered Hairpin";8;"Bayer-Powlowski";10250
48;"Funky Charming Adorable Amulet";8;"Bayer-Powlowski";16722
49;"Cool Hand-Hammered Ring";8;"Bayer-Powlowski";20852
50;"Bejeweled Solid Finely Detailed Ring";8;"Bayer-Powlowski";14329
51;"Textured Bejeweled Adjustable Ring";8;"Bayer-Powlowski";23190
52;"Dangly Nickel-Free Locket";8;"Bayer-Powlowski";7242
53;"Charming Wardrobe-Friendly Complex Amulet";9;"Volkman-Cronin PLC";8380
54;"Mosaic Flirty Ornate Watch";9;"Volkman-Cronin PLC";9900
55;"Striking Studded Suspended Cuff links";9;"Volkman-Cronin PLC";12648
56;"Bangle-Style Rocker-Style Circlet";9;"Volkman-Cronin PLC";14341
57;"Finely Detailed Cute Armlet";9;"Volkman-Cronin PLC";8083
58;"Detailed Cute Hot Necklace";9;"Volkman-Cronin PLC";7119
59;"Individualist Coordinating Vintage Earrings";9;"Volkman-Cronin PLC";13832
60;"Textured Tapered Circlet";9;"Volkman-Cronin PLC";21028
61;"Stylish Hand-Carved Bracelet";9;"Volkman-Cronin PLC";7445
62;"Casual Contemporary Gold-Plated Locket";9;"Volkman-Cronin PLC";24225
63;"Cute Encased Brooch";10;"Boyer-Yost and Co";8080
64;"Studded Beaded Necklace";10;"Boyer-Yost and Co";17645
65;"Precious Rust-Resistant Wardrobe-Friendly Brooch";10;"Boyer-Yost and Co";8507
66;"Bangle-Style Marquise-Cut Designer Charm";11;"Haley-Bruen";24948
67;"Marbled Keepsake Costume Ring";11;"Haley-Bruen";8460
68;"Sexy Top-Of-The-Line Hand-Carved Circlet";11;"Haley-Bruen";1839
69;"Radiant Cute Brilliant Belly chain";11;"Haley-Bruen";188
70;"Tribal Cute Brooch";11;"Haley-Bruen";3380
71;"Adjustable Graceful Earrings";11;"Haley-Bruen";4012
72;"Clustered Funky Engineered Brooch";11;"Haley-Bruen";14264
73;"Reliable Reflective Dangly Necklace";11;"Haley-Bruen";5540
74;"Fancy Unique Cute Belly chain";12;"Jakubowski-Rutherford PLC";14471
75;"Opaque Etched Pin";12;"Jakubowski-Rutherford PLC";10890
76;"Multi-Faceted Reflective Armlet";12;"Jakubowski-Rutherford PLC";19646
77;"Contemporary Keepsake Sassy Amulet";13;"Green Zieme and Sauer";18212
78;"Prismatic Solid Armlet";13;"Green Zieme and Sauer";3912
79;"Brilliant Comfortable Delicate Locket";13;"Green Zieme and Sauer";8708
80;"Slender Comfortable Marbled Locket";13;"Green Zieme and Sauer";8918
81;"Whimsical Teardrop Clustered Charm";13;"Green Zieme and Sauer";22773
82;"Cut-Out Charming Antique Pendant";13;"Green Zieme and Sauer";7540
83;"Semi-Translucent Crackled Rocker-Style Pin";13;"Green Zieme and Sauer";7576
84;"Whimsical Cool Anklet";13;"Green Zieme and Sauer";16481
85;"Antique Artisan Marquise-Cut Ring";13;"Green Zieme and Sauer";6776
86;"Bangle-Style Encased Brooch";13;"Green Zieme and Sauer";504
87;"Flattering Scratch-Resistant Circlet";14;"Dooley Ferry and Fritsch Ltd";14723
88;"Delicate Scratch-Resistant Watch";14;"Dooley Ferry and Fritsch Ltd";6164
89;"Sexy Prismatic Burnished Watch";14;"Dooley Ferry and Fritsch Ltd";19808
90;"Colorful Minimalist Earrings";14;"Dooley Ferry and Fritsch Ltd";17984
91;"Marbled Gorgeous Locket";14;"Dooley Ferry and Fritsch Ltd";13185
92;"Flexible Mosaic Costume Pendant";14;"Dooley Ferry and Fritsch Ltd";10810
93;"One-Of-A-Kind Charming Necklace";14;"Dooley Ferry and Fritsch Ltd";14552
94;"Shimmering Chic Charm";14;"Dooley Ferry and Fritsch Ltd";8090
95;"Dramatic Unique Circlet";14;"Dooley Ferry and Fritsch Ltd";17863
96;"Multistrand Unique Gorgeous Pendant";15;"Wyman Osinski and Kovacek";3645
97;"Dainty Cool Professional Locket";15;"Wyman Osinski and Kovacek";2843
98;"Mosaic Savvy Silver Anklet";15;"Wyman Osinski and Kovacek";10958
99;"Graceful Tapered Circlet";15;"Wyman Osinski and Kovacek";14970
100;"Waterproof Top-Of-The-Line Unique Watch";15;"Wyman Osinski and Kovacek";16652
101;"Waterproof Faceted Watch";15;"Wyman Osinski and Kovacek";6632
102;"Burnished Set Anklet";15;"Wyman Osinski and Kovacek";12300
103;"Shimmering Costume Ring";15;"Wyman Osinski and Kovacek";16451
104;"Faceted Flexible Hairpin";15;"Wyman Osinski and Kovacek";10638
105;"Lightweight Water-Resistant Decorative Cuff links";16;"Bode-Gottlieb Inc";12179
106;"Rust-Resistant Innovative Earrings";16;"Bode-Gottlieb Inc";25209
107;"Flawless Supportive Earrings";16;"Bode-Gottlieb Inc";7229
108;"Hot Costume Belly chain";16;"Bode-Gottlieb Inc";10184
109;"Delicate Tiny Two-Tone Pin";16;"Bode-Gottlieb Inc";1090
110;"Ornate Structural Necklace";16;"Bode-Gottlieb Inc";6615
111;"Round-Cut Radiant Original Belly chain";16;"Bode-Gottlieb Inc";13922
112;"Mosaic Carved Pendant";17;"Blick-Bosco";6893
113;"Elegant Precise Armlet";17;"Blick-Bosco";5950
114;"Subtle Tribal Wear-Anywhere Ring";17;"Blick-Bosco";3846
115;"Studded Designer Radiant Pendant";17;"Blick-Bosco";1981
